gene,t_stat,p_value,p_adj,significant,log2FC,regulation
ZNF438,-11.696952880294548,6.362968557996883e-16,4.984626647351251e-15,True,-1.1137082678954968,DOWN
ADRM1,11.695706300518676,6.388022113963005e-16,5.001884802438141e-15,True,0.6494120558866623,UP
IL6R,-11.694936547238715,6.403542368276766e-16,5.0116654911607896e-15,True,-1.9060806559558348,DOWN
EGLN3,11.694404555966337,6.414291030619358e-16,5.017704260122802e-15,True,2.6105811679076423,UP
LYZ,-11.693535384349872,6.431891619107354e-16,5.029094841121511e-15,True,-2.7998033143186287,DOWN
UBA7,-11.692118104228069,6.460696309235664e-16,5.049231007855648e-15,True,-1.6468637245984823,DOWN
KIAA1324L,-11.69023725463021,6.499124434904515e-16,5.0768656173510485e-15,True,-2.001369958096462,DOWN
CSTF2,11.688026759609716,6.544583718347737e-16,5.1099640217113414e-15,True,1.1341153110883315,UP
ERICH2,-11.687507829971638,6.555302214331726e-16,5.115918638496151e-15,True,-2.8949064996812686,DOWN
ZNF487,-11.685802451045406,6.59065223458914e-16,5.141081622879648e-15,True,-1.0915683336905602,DOWN
MEFV,-11.682584246413219,6.657887843930803e-16,5.19108173316848e-15,True,-2.188788291574216,DOWN
MTCH2,11.68239171026351,6.661932320195243e-16,5.191788518023095e-15,True,0.9388240199013467,UP
C11orf54,-11.679370320262558,6.725727570948945e-16,5.239037790082405e-15,True,-1.1333327248694829,DOWN
ARMC9,-11.676426666516694,6.788476624430191e-16,5.285428035350472e-15,True,-1.5394068242982284,DOWN
SULT1C4,-11.676066436900058,6.796196156212888e-16,5.288949454588063e-15,True,-2.748209797474983,DOWN
ALDH1A2,-11.674171790250778,6.836944057406247e-16,5.318158882453519e-15,True,-2.7496230074143435,DOWN
LMCD1,-11.673471630802373,6.852064837890463e-16,5.3274160123542166e-15,True,-1.891172341440873,DOWN
SLC12A4,-11.6722669441631,6.878160815195361e-16,5.345193550371407e-15,True,-1.248431633300413,DOWN
OR52N4,-11.667691800233685,6.978188361165167e-16,5.4203815227923795e-15,True,-1.9132842878899532,DOWN
G2E3,11.666264727376982,7.009689339287537e-16,5.442295172149804e-15,True,0.8968554469796706,UP
NCMAP,-11.656137199055612,7.237420511210186e-16,5.616469153751057e-15,True,-3.0793916289261563,DOWN
ACBD4,-11.64666125657411,7.457284359368079e-16,5.784377389861456e-15,True,-1.337853436178004,DOWN
MTM1,-11.644185449985663,7.515835535609251e-16,5.827061805841381e-15,True,-0.8960774064496793,DOWN
UNC13D,-11.64296919068615,7.544769609162777e-16,5.8454636132415354e-15,True,-2.1568567762086364,DOWN
SNX14,-11.642890872475688,7.546636614012644e-16,5.8454636132415354e-15,True,-0.8262740619886468,DOWN
RERGL,-11.640214109575385,7.610729293904519e-16,5.892349844064122e-15,True,-3.2867261742366827,DOWN
MASP1,-11.638321941138628,7.656367945750905e-16,5.92491149029227e-15,True,-3.0751047606858233,DOWN
MS4A4A,-11.635024220183043,7.736571816061554e-16,5.984178620698382e-15,True,-2.1780399756011732,DOWN
TMEM219,-11.632868125174243,7.789469787658806e-16,6.0222793288231274e-15,True,-0.8549024669231411,DOWN
ADAM12,11.631547284180925,7.822056316553396e-16,6.044648377271178e-15,True,2.862967464839241,UP
KCTD14,-11.628627302969514,7.894586222663858e-16,6.0978491621836384e-15,True,-1.8998078410639918,DOWN
KIAA1549L,11.619497470562566,8.125788607298043e-16,6.273503150151475e-15,True,3.1660935288492915,UP
TTN,-11.61748083694668,8.177775476846461e-16,6.3077526929801724e-15,True,-1.7885277590947175,DOWN
STIP1,11.617570133149684,8.17546639420431e-16,6.3077526929801724e-15,True,0.8694120362520952,UP
TNNI2,-11.616693410105066,8.1981659191339455e-16,6.320533789938076e-15,True,-2.2035366180669085,DOWN
SIRPB2,-11.616498200914409,8.203228827866212e-16,6.32149142790156e-15,True,-2.0990002573622624,DOWN
VTN,-11.615751731498888,8.22261834492964e-16,6.333483264285889e-15,True,-2.83785739717272,DOWN
MT-ND6,-11.614372270750534,8.258572031783963e-16,6.358216578216177e-15,True,-2.227843116095288,DOWN
GNS,-11.612988413643698,8.294800307979129e-16,6.383138190489056e-15,True,-0.8658821221722004,DOWN
DOCK2,-11.610979719541405,8.347672928668985e-16,6.4208390797223776e-15,True,-2.0394211351295874,DOWN
PFKFB2,-11.60516381213958,8.502691714962547e-16,6.5370369156159544e-15,True,-1.2976486213027307,DOWN
KLF15,-11.60310082098898,8.5583771342527925e-16,6.576792832615535e-15,True,-2.78762832413251,DOWN
NCS1,11.602648325016302,8.57064047414858e-16,6.5831590828592504e-15,True,1.607445922549335,UP
MXD4,-11.600608940113643,8.626132212347364e-16,6.62270800247272e-15,True,-1.1286282187124907,DOWN
BCL11A,11.594164348385608,8.803893432231382e-16,6.756049018379788e-15,True,2.417850812949781,UP
ICAM1,-11.591576707839799,8.876308203191895e-16,6.808461716356509e-15,True,-2.6539236148725536,DOWN
ITGAM,-11.590524318457222,8.90593147972397e-16,6.8280183657105234e-15,True,-2.108239579812076,DOWN
CEP85,11.589147512693675,8.94483787147957e-16,6.854670800538652e-15,True,1.15450754479067,UP
NME1-NME2,11.588648354758678,8.958985781062237e-16,6.862334247577533e-15,True,1.0899999263735793,UP
FBXL19,11.587638969353756,8.987664646779849e-16,6.881115760341166e-15,True,1.185490772998178,UP
GRIK4,-11.587254573453588,8.998610614210809e-16,6.8863095565271895e-15,True,-2.734982003816214,DOWN
C18orf56,11.586233521294895,9.027751467991534e-16,6.905415998054551e-15,True,2.501944438700329,UP
CCR1,-11.584888436532156,9.066286170325068e-16,6.931686907949549e-15,True,-2.0178433915847283,DOWN
POP7,11.582559383181197,9.13340454559175e-16,6.979777284379469e-15,True,0.9611771171711236,UP
CLEC9A,-11.581571906481438,9.16201324207992e-16,6.9984076218934576e-15,True,-2.143409418694391,DOWN
TRAP1,11.580338800520222,9.197865663651302e-16,7.022551333876825e-15,True,0.9994120620692186,UP
C1QB,-11.580065959713547,9.205817660117288e-16,7.0253806820406156e-15,True,-2.461960939562605,DOWN
MRPL19,11.579455518578541,9.223634308190516e-16,7.035732117520152e-15,True,0.8725516439963794,UP
PSMD14,11.578784469501844,9.243260191974724e-16,7.047453450517134e-15,True,0.9850991621026441,UP
TMEM178A,-11.572947669774292,9.415760522588402e-16,7.175668256389918e-15,True,-2.85600007032628,DOWN
GLYCTK,-11.572645912551847,9.424766762737622e-16,7.179224958079832e-15,True,-0.9525511156420752,DOWN
KIR3DL2,-11.563678187526486,9.696437523995694e-16,7.379372531486143e-15,True,-1.9889684520601563,DOWN
OLFML1,-11.563711141893325,9.695424812146915e-16,7.379372531486143e-15,True,-2.061960586982676,DOWN
NRIP3,11.562378474470616,9.736464213669455e-16,7.406427605294765e-15,True,1.5900107842940177,UP
SLC44A4,-11.562100082899091,9.745059454356193e-16,7.409559222073678e-15,True,-3.3064536000228415,DOWN
KCNE1,-11.558623102817236,9.853059609044448e-16,7.488234783263225e-15,True,-2.7488093752293263,DOWN
ACSL4,-11.557121090245445,9.900088543936972e-16,7.520521807136695e-15,True,-1.561373186142374,DOWN
ABCC5,11.556904326932527,9.906894283319824e-16,7.522237995297223e-15,True,2.2350950498015294,UP
TBL1XR1,11.555650181335137,9.946363941880107e-16,7.54874272561497e-15,True,1.2288240089402471,UP
SMC2,11.545366716948816,1.0276064859054204e-15,7.795391705321038e-15,True,1.4841243227934724,UP
SH3BGRL2,-11.543789309865973,1.0327608835752705e-15,7.82731507959361e-15,True,-1.861583689760634,DOWN
UBASH3B,-11.54381077695042,1.0326905614254887e-15,7.82731507959361e-15,True,-2.100582278509446,DOWN
DCP1A,-11.542252834456546,1.0378067061284042e-15,7.861956022387568e-15,True,-0.8064734770294315,DOWN
PCDH17,-11.539590726934833,1.046608313535827e-15,7.925004369542452e-15,True,-2.016252649028937,DOWN
FMNL1,-11.538217927952505,1.0511766444135812e-15,7.955954977960978e-15,True,-1.4594119033369086,DOWN
TCF24,11.537811380091567,1.0525334058584691e-15,7.962208156819594e-15,True,2.328177449838898,UP
GJB1,-11.537682066083475,1.0529653337637517e-15,7.962208156819594e-15,True,-3.725184537786732,DOWN
MRPL36,11.535896801971388,1.0589467595685566e-15,8.003779870745439e-15,True,1.3031360415003608,UP
MAPK4,-11.535715084182003,1.059557521089097e-15,8.004739354529276e-15,True,-3.068809541592183,DOWN
CCDC173,-11.534358949023963,1.0641268319108806e-15,8.035590339555236e-15,True,-3.0349309337908656,DOWN
CYP17A1,-11.532265903428733,1.0712182641964613e-15,8.085449900150753e-15,True,-2.7330793640007824,DOWN
PFKP,11.531904589164915,1.0724472659034207e-15,8.091035118272729e-15,True,1.6103905850305154,UP
OSCP1,-11.529301574714426,1.0813436627750404e-15,8.15443523273156e-15,True,-1.560588194804648,DOWN
BRI3BP,11.522651456991312,1.1044128837123646e-15,8.324606451490237e-15,True,1.4509957275528862,UP
CAPN2,-11.51961989813721,1.1150941390312847e-15,8.401289858958382e-15,True,-1.041176513660881,DOWN
REPS2,-11.515385684224775,1.130188135244397e-15,8.511134591542353e-15,True,-1.4394172414329711,DOWN
FAM149A,-11.514542611469567,1.1332181099138708e-15,8.53006989468835e-15,True,-1.9204066013607983,DOWN
SLC25A25,-11.513466004665453,1.1370993621115278e-15,8.555392881371182e-15,True,-1.4886287354437489,DOWN
BEND6,11.510203271939249,1.1489441924974099e-15,8.640582574940749e-15,True,1.742331628783055,UP
REM1,-11.503594419067795,1.1733209227656059e-15,8.81989762251565e-15,True,-2.297323087393867,DOWN
DLEU1,11.501900813343392,1.1796516649839104e-15,8.863459035948592e-15,True,1.163732790657198,UP
LGALS3,-11.487836187860399,1.233580358263032e-15,9.26445166929726e-15,True,-1.241764761435583,DOWN
TMEM2,-11.477723423566074,1.2738934530929083e-15,9.56287077197013e-15,True,-1.4701946006162228,DOWN
CPA3,-11.471066056902506,1.3011578938993397e-15,9.763109911367155e-15,True,-3.0282008156397078,DOWN
C10orf91,11.4693657560017,1.3082155214770152e-15,9.811616411077614e-15,True,2.203039268841857,UP
POU6F2,11.469077770861787,1.3094147268566708e-15,9.816160695896519e-15,True,3.374676573964699,UP
GPR20,-11.467937783986875,1.3141727074015177e-15,9.847367501792624e-15,True,-1.9359772003830713,DOWN
FST,11.46566059884816,1.3237295151772888e-15,9.914488378727137e-15,True,2.4572359384846125,UP
SPATA13,-11.464327432637726,1.3293571312206166e-15,9.952132912237601e-15,True,-1.7888211676095693,DOWN
MAL,-11.464019101619186,1.3306621168694205e-15,9.957396980372937e-15,True,-2.610822578298974,DOWN
NUP107,11.46376381055669,1.3317435969873826e-15,9.960984544374433e-15,True,0.8262745783486736,UP
CLEC4M,-11.46290780366936,1.335376367817079e-15,9.979133697169635e-15,True,-3.941233521268896,DOWN
NUP85,11.463015405482558,1.334919170220339e-15,9.979133697169635e-15,True,0.7427445357026041,UP
USP14,11.461878380232118,1.3397583874620753e-15,1.000736005442891e-14,True,0.784903227529087,UP
NLRP3,-11.457465477965966,1.3587087275301727e-15,1.0144330278423605e-14,True,-1.9995638137212444,DOWN
ST14,11.457256533071455,1.3596127012008348e-15,1.014650074035535e-14,True,1.1176478969831702,UP
MPP1,-11.456751206180847,1.361801452620759e-15,1.0158252945721577e-14,True,-1.3945068293207896,DOWN
YBX2,11.455046390064007,1.3692119809337132e-15,1.0208928447295305e-14,True,2.717699890455492,UP
PTPN1,-11.45386014465041,1.3743924576211398e-15,1.0242938383487278e-14,True,-0.8276471174538091,DOWN
LAIR1,-11.453684459712871,1.37516138066733e-15,1.0244054499388102e-14,True,-2.1592127454845684,DOWN
HLA-C,-11.449141818664495,1.3951952115842198e-15,1.0388616010648477e-14,True,-1.3570587239905247,DOWN
ACSM1,-11.447328519147739,1.4032744814811885e-15,1.0444073907380235e-14,True,-1.8959884053204838,DOWN
GPRASP1,-11.444944244801691,1.4139699202505184e-15,1.0514216777772955e-14,True,-1.6800260647796668,DOWN
SCRIB,11.444965020167928,1.4138763699617046e-15,1.0514216777772955e-14,True,1.0341174572414484,UP
CD37,-11.442105885381647,1.4268099996352412e-15,1.0604928770873792e-14,True,-2.4099982140805967,DOWN
HLA-DMB,-11.44156480737733,1.4292710788314754e-15,1.0618450830384716e-14,True,-2.110395787548434,DOWN
XPO1,11.439522532687224,1.4385991107116731e-15,1.0682954347722008e-14,True,0.976273836421294,UP
RHNO1,11.433334242787998,1.4672421064374055e-15,1.089076745222381e-14,True,1.2464676576812472,UP
STXBP2,-11.431759899487593,1.4746207900013388e-15,1.0940628237924732e-14,True,-0.9058828914998678,DOWN
FBXL3,-11.42865478843013,1.4892842603127467e-15,1.1044467990530881e-14,True,-0.8423500459887219,DOWN
MT-ND5,-11.42829599448107,1.4909881058269003e-15,1.1052149736069024e-14,True,-1.856078394679784,DOWN
SPDL1,11.426445115802554,1.4998089911424047e-15,1.1112556989901965e-14,True,1.288632483212659,UP
LPXN,-11.425775257670583,1.503014397152343e-15,1.11313219341475e-14,True,-1.8609806064339196,DOWN
CNR1,-11.421945822456223,1.5214726681498498e-15,1.1262982234693183e-14,True,-2.9209713600983394,DOWN
CDH19,-11.418605729675159,1.5377596100411243e-15,1.1378458295228267e-14,True,-2.5657448761374764,DOWN
PRTG,-11.416682758231005,1.547216361093163e-15,1.1443314570534815e-14,True,-2.378876094544967,DOWN
SLC46A3,-11.41306306473007,1.565177284459821e-15,1.1570982203479776e-14,True,-1.5911757030126914,DOWN
LPAR2,11.412317817437632,1.5689013337025473e-15,1.1593332990669338e-14,True,0.9809783879317671,UP
HOXA1,11.41079638753916,1.5765318988966515e-15,1.1644517976448705e-14,True,2.13769809356386,UP
TRIM21,-11.40548484015806,1.6034672440268445e-15,1.1838181861858163e-14,True,-0.9617666506152194,DOWN
DARS,11.400349063032708,1.6299543772936214e-15,1.2028365375701591e-14,True,0.7323523837334118,UP
TIGD5,11.39956743846774,1.6340241779193266e-15,1.2053022747960436e-14,True,1.1306127620852466,UP
RP11-345J4.5,11.39397149142786,1.6634635685890982e-15,1.2264707995680315e-14,True,1.1460793752816816,UP
DUS4L,11.393707609105299,1.6648649979457272e-15,1.2269573002677977e-14,True,1.0256929694883707,UP
TMPRSS11F,11.391518870760455,1.6765351558287312e-15,1.235007753926374e-14,True,3.5247893953178675,UP
TFB2M,11.390634232516987,1.6812754425935646e-15,1.237948473418359e-14,True,1.012155408607505,UP
TMEM194A,11.390271710176203,1.683221917484168e-15,1.238830365870799e-14,True,1.2562726722673112,UP
GPC2,11.389308154050935,1.688406596285682e-15,1.2420936921096757e-14,True,2.3488646968079006,UP
RIPK3,-11.388243543522487,1.6941538328430356e-15,1.245767785083912e-14,True,-1.3088325054582866,DOWN
PDE4D,-11.387058405964206,1.7005750320940814e-15,1.2499339807195282e-14,True,-1.5203955392897726,DOWN
FRMD6,11.386589244846192,1.7031238001007256e-15,1.2512514774718696e-14,True,1.9890208743637823,UP
DPYD,-11.37804334409374,1.7502332809999213e-15,1.285291151093817e-14,True,-1.7954896180118292,DOWN
HIST1H2BH,11.375678708556851,1.763499955037982e-15,1.2944590397561408e-14,True,4.055901473567621,UP
GALNT16,-11.373118118532297,1.7779808902866744e-15,1.304509704203682e-14,True,-2.78649258601852,DOWN
GREM1,11.370827350424317,1.7910379209638354e-15,1.3135071986855787e-14,True,4.034713143421339,UP
ZFP69B,11.367543587109681,1.8099244195805686e-15,1.3267700275569565e-14,True,1.4991942134516938,UP
PRPF40A,11.367085388512246,1.8125757247736615e-15,1.3281251269433229e-14,True,0.7033311489787266,UP
WDR12,11.365967231841678,1.8190623100067053e-15,1.3322879999584303e-14,True,1.5780375761857126,UP
CD151,-11.365574843544344,1.821344177458624e-15,1.3333690007103068e-14,True,-1.152353023725757,DOWN
ALPK3,-11.365197860698983,1.8235391870513793e-15,1.3343854865000032e-14,True,-2.1892458306853833,DOWN
PRB3,11.36423835005451,1.82913809932443e-15,1.3378907981132934e-14,True,3.3571838766909545,UP
FGF2,-11.360749269943566,1.8496446331835947e-15,1.3522921102970645e-14,True,-2.138103343914948,DOWN
TPSAB1,-11.360000831619708,1.854073701407723e-15,1.3549315101497693e-14,True,-2.8198027092375533,DOWN
SULT1A4,-11.359841188372076,1.8550198184162067e-15,1.3550244104060106e-14,True,-1.5709846961735456,DOWN
IFI30,-11.356876437245713,1.872679367081556e-15,1.3673203940143133e-14,True,-1.880000279364662,DOWN
VWA5A,-11.3552877625895,1.882212263248988e-15,1.3736745432489859e-14,True,-1.3062703850086983,DOWN
ABCB6,11.35433458198921,1.8879554255752414e-15,1.3772584883660656e-14,True,1.6921501964100099,UP
FAM150B,-11.354040236096498,1.8897325198252365e-15,1.3779473133763128e-14,True,-3.080168751775891,DOWN
TCF20,11.35223714277944,1.9006556067176736e-15,1.3853016305349741e-14,True,0.9964715558251154,UP
SLC16A1,11.351969303192998,1.9022836159622257e-15,1.3858776937954655e-14,True,2.3111734589393675,UP
WAS,-11.350526639788121,1.9110768726119043e-15,1.3904470913528565e-14,True,-1.8631329012293625,DOWN
ECM2,-11.350613276408051,1.9105476493030358e-15,1.3904470913528565e-14,True,-2.058830836963925,DOWN
CXCL12,-11.350724648527532,1.909867546177601e-15,1.3904470913528565e-14,True,-2.1964686345793183,DOWN
GSK3B,11.349872513325,1.915077424830447e-15,1.392745318409659e-14,True,0.7648999294075587,UP
NHSL2,-11.348029120774147,1.9263970533954503e-15,1.4003620056426945e-14,True,-1.7320735555105213,DOWN
CRYL1,-11.346248504921661,1.9373955183765265e-15,1.4077386408229965e-14,True,-1.2011818435277934,DOWN
ZRANB3,11.343993521980291,1.9514153419458368e-15,1.4173031972121979e-14,True,1.1598162387701505,UP
MT1M,-11.34195649586784,1.964168369176332e-15,1.4259396958324884e-14,True,-3.170201408554254,DOWN
TLE2,-11.341401590801397,1.967657016551065e-15,1.4278458481946214e-14,True,-2.0264705615354597,DOWN
CACNG4,-11.339921399941726,1.976993588286357e-15,1.433992061297579e-14,True,-3.6480436167637675,DOWN
CBWD6,11.339231222730174,1.9813623278937152e-15,1.4365311005697423e-14,True,0.8809769594002645,UP
MFSD4,-11.33895072380497,1.98314064517011e-15,1.43719062524483e-14,True,-1.701211105231681,DOWN
C8orf4,-11.338096267531455,1.988567723992956e-15,1.440492687980011e-14,True,-2.7315695946203835,DOWN
MPEG1,-11.335575303486676,2.004667423193678e-15,1.4515195849776547e-14,True,-1.995702323837624,DOWN
ADHFE1,-11.333019164015239,2.02112653614992e-15,1.4627969615310774e-14,True,-1.9960759094020837,DOWN
STX6,11.3322589563268,2.0260479011237377e-15,1.4657176442541424e-14,True,0.7284311051338683,UP
TMEM117,11.330818607084096,2.0354056045344294e-15,1.471843781775443e-14,True,2.0307935690910064,UP
TAOK2,-11.325059166832242,2.0732631531685954e-15,1.4985643892168813e-14,True,-0.9492158535006752,DOWN
PARVG,-11.32038169485439,2.104532905903654e-15,1.5205020492653256e-14,True,-2.0643128501931063,DOWN
ILF3,11.31959905343756,2.1098114507109988e-15,1.5236503907469874e-14,True,0.706862860177619,UP
LSG1,11.318290869271848,2.1186644796518757e-15,1.5293762572356144e-14,True,1.1927465421109673,UP
HRAS,11.317325124376916,2.1252242040153047e-15,1.5334424097441435e-14,True,0.901176293735368,UP
C9orf152,-11.317078090426113,2.1269054574818693e-15,1.533986521100154e-14,True,-3.4799834762010073,DOWN
MTFR1L,-11.31535318147633,2.1386823624195782e-15,1.541808265195291e-14,True,-0.6688223740634385,DOWN
KRT75,11.313318665414334,2.1526580257585916e-15,1.5512076235268248e-14,True,4.098313343091913,UP
SNRPA,11.313095849105522,2.1541942210263964e-15,1.551638806568643e-14,True,0.7501951738161168,UP
GPR19,11.310986445392476,2.1687925018356677e-15,1.5614739748856015e-14,True,2.617110491450328,UP
CD300E,-11.308353658165608,2.1871535146193953e-15,1.5740084775718964e-14,True,-2.273485539859042,DOWN
PRMT8,-11.307690377976526,2.1918039881623342e-15,1.5766694340932964e-14,True,-2.610419280763036,DOWN
LIG1,11.307290941955102,2.194609392997359e-15,1.5780014083937988e-14,True,1.2423537439038945,UP
RCAN2,-11.304885122639886,2.2115835238721124e-15,1.5893274700051427e-14,True,-2.0927363845667024,DOWN
NRN1L,-11.304786474699878,2.21228235927582e-15,1.5893274700051427e-14,True,-2.009541915202503,DOWN
WDR18,11.304360866158847,2.215299992115188e-15,1.590804616733758e-14,True,0.7580378812277253,UP
JAM3,-11.303086901456203,2.224357537188528e-15,1.596339563166372e-14,True,-1.689215123520003,DOWN
PRPS2,11.302870149944232,2.225902310199347e-15,1.596339563166372e-14,True,1.068038735784878,UP
PALD1,-11.30289016306907,2.225759632540521e-15,1.596339563166372e-14,True,-1.970405433772675,DOWN
MRPS12,11.29983976109298,2.24761378538197e-15,1.6112118751795794e-14,True,1.2729422862017543,UP
CNOT11,11.297092928563206,2.2674789233006135e-15,1.624748323343813e-14,True,0.6892178180880304,UP
CFLAR,-11.296692782333428,2.2703875851514245e-15,1.6261282509233905e-14,True,-1.0866668906091235,DOWN
CAMP,-11.291273233461911,2.3101563991039908e-15,1.6531806930439242e-14,True,-3.906437175063044,DOWN
KDM5B,11.291333397014283,2.309711068184698e-15,1.6531806930439242e-14,True,1.148433180079218,UP
CCT2,11.290510908886267,2.3158066647175356e-15,1.6565076207415317e-14,True,0.7784319419610259,UP
ACACB,-11.289252748406842,2.325162631569763e-15,1.6621592405834873e-14,True,-2.0384418418593464,DOWN
NLE1,11.289178370560679,2.3257169186768046e-15,1.6621592405834873e-14,True,0.9488233387488307,UP
GPR162,-11.285000270107256,2.357069239297926e-15,1.6838389708196972e-14,True,-1.922573176388708,DOWN
ZSWIM7,-11.284253400137544,2.362718647630359e-15,1.687146310964363e-14,True,-0.889415257911514,DOWN
TRIM71,-11.283990504910808,2.3647104771002057e-15,1.6878401571882183e-14,True,-2.473980825313277,DOWN
TBCE,11.282916518180022,2.372865227926487e-15,1.6928525012071557e-14,True,0.6513705461044843,UP
MYL6,-11.282796371091038,2.3737792703539444e-15,1.6928525012071557e-14,True,-0.9123529266207395,DOWN
GAST,11.277803353478513,2.4120815503975785e-15,1.719426508027916e-14,True,4.17915444793388,UP
CCPG1,-11.27751013011703,2.4143502723807485e-15,1.7203025519612183e-14,True,-1.1060803630693172,DOWN
RASSF8,-11.276515491888324,2.4220620736885063e-15,1.7250545419361315e-14,True,-1.6137272970357603,DOWN
WDR4,11.2762519952034,2.4241092371866727e-15,1.725769678539307e-14,True,1.1015694683360815,UP
CAPN8,-11.273234928970187,2.447674731323836e-15,1.741796921709801e-14,True,-4.26882543161058,DOWN
CXCR2,-11.271503407224994,2.4613038003935297e-15,1.750742535576567e-14,True,-2.7731714842590716,DOWN
ZNF608,-11.27013521837144,2.472127344921927e-15,1.7576857293396338e-14,True,-1.8223565693631745,DOWN
RXFP1,-11.268802393578602,2.4827174665256774e-15,1.7644570654496277e-14,True,-3.0230770130292437,DOWN
RUNX1T1,-11.266659668551616,2.4998391148268168e-15,1.7758625227483762e-14,True,-2.227073976997514,DOWN
C14orf159,-11.265372816481143,2.5101792361630317e-15,1.7824427237046077e-14,True,-0.9180362097772647,DOWN
DPP6,-11.26192743930077,2.5380772355335312e-15,1.8014795307551385e-14,True,-2.8655310587867735,DOWN
SLC14A1,-11.260857529991831,2.5468042516157523e-15,1.8068986424949668e-14,True,-3.502765195542945,DOWN
CMTM8,-11.26039736245606,2.5505670748756433e-15,1.8087926383976647e-14,True,-1.2984228496707972,DOWN
NFAM1,-11.259903414614204,2.5546123859841958e-15,1.810885258188026e-14,True,-2.0486400129501314,DOWN
NUBP1,-11.259536800946698,2.5576190608890444e-15,1.8122401440003956e-14,True,-0.5825509638900996,DOWN
SNAP23,-11.258170630510104,2.5688548947767258e-15,1.8187629769534833e-14,True,-0.7515683144375611,DOWN
NPDC1,-11.258105333458886,2.569393168767394e-15,1.8187629769534833e-14,True,-1.617055471789115,DOWN
SMCO2,11.258016869678624,2.570122599043363e-15,1.8187629769534833e-14,True,2.6356603271820678,UP
FRMD4B,-11.256562886502172,2.5821415388059777e-15,1.826487035465793e-14,True,-1.2907798404213615,DOWN
FOS,-11.256353897867104,2.583873755351256e-15,1.826931251379766e-14,True,-2.7343137591208233,DOWN
ICAM4,-11.252435951830002,2.6165665774579814e-15,1.849256472620346e-14,True,-3.2619353110683402,DOWN
DIP2B,11.250732074995222,2.6309147383362635e-15,1.8586030890594996e-14,True,1.0300015577859334,UP
RASSF2,-11.246546922476604,2.666496514769256e-15,1.8829357591488405e-14,True,-2.241778226721462,DOWN
PPIF,11.244417327069609,2.684788773039226e-15,1.8950439526422354e-14,True,1.408236566141337,UP
ABCF3,11.243370052505247,2.6938309348672005e-15,1.9006154719564108e-14,True,0.8470580406818513,UP
SCNN1B,-11.242337752150826,2.702773983249809e-15,1.9061123424069944e-14,True,-2.7684229283152426,DOWN
RAB3B,11.240936536118651,2.7149611416716724e-15,1.913891439665864e-14,True,3.147132014298151,UP
GOLT1A,-11.238365113627012,2.7374711642254132e-15,1.9289378369722938e-14,True,-3.0698533637819496,DOWN
SYNJ1,-11.236410659655352,2.754706605893894e-15,1.9402563130912932e-14,True,-0.9603955929367975,DOWN
MTMR10,-11.23583158237922,2.759834292484047e-15,1.943040781665896e-14,True,-1.0676447198084738,DOWN
MSN,-11.23447019327877,2.7719273892187845e-15,1.950724740732658e-14,True,-1.190392072376671,DOWN
PTPRE,-11.232084634287473,2.7932476119541e-15,1.96489293111312e-14,True,-1.5764666344245333,DOWN
PLA2G5,-11.230712349849812,2.805587136863919e-15,1.9727343467664065e-14,True,-2.1217417529791485,DOWN
SYNM,-11.227866233689843,2.8313555111911582e-15,1.9900075162556378e-14,True,-1.6807767280995298,DOWN
RNF2,11.226607680310204,2.842826572252314e-15,1.9972214708243964e-14,True,0.8209810793767751,UP
PLK3,-11.226337070930606,2.845299175830575e-15,1.9972624040779322e-14,True,-1.472938131621449,DOWN
MICALL1,11.22642521427502,2.8444935562172056e-15,1.9972624040779322e-14,True,1.2047093545651375,UP
DHRS12,-11.225942266523672,2.8489104762782764e-15,1.998949271841564e-14,True,-1.1688254002700917,DOWN
ERN1,-11.225388504291487,2.8539835941439266e-15,2.0016599646083622e-14,True,-0.9739247930418795,DOWN
PFDN4,11.224219904643126,2.8647193861869803e-15,2.0083382306976097e-14,True,0.8507836938680331,UP
CYR61,-11.223736580364147,2.8691715745762963e-15,2.0106075265296408e-14,True,-2.2760793046674124,DOWN
CRELD1,-11.220866819675098,2.8957513096217605e-15,2.0283744884712968e-14,True,-1.1441176133014501,DOWN
TBXAS1,-11.218762235084112,2.915402306522835e-15,2.0412751232086458e-14,True,-1.855108590729781,DOWN
ADAM33,-11.216865410606141,2.933229053536974e-15,2.0528881002863466e-14,True,-2.1221152951482445,DOWN
GAS6,-11.216095498701643,2.940496293909513e-15,2.0571040669231667e-14,True,-1.874314787142925,DOWN
SMTNL2,-11.213789378933335,2.9623731383990232e-15,2.0715326954696467e-14,True,-2.962329598028145,DOWN
SNED1,-11.203850101929293,3.058562973469927e-15,2.137892876893111e-14,True,-1.6333311727774635,DOWN
RBM8A,11.198889913866555,3.1077431258541866e-15,2.171351774377429e-14,True,0.6911769318522616,UP
KRT6C,11.196989823889833,3.1267938741773886e-15,2.183740170884968e-14,True,5.890201407443873,UP
PRELP,-11.195869867766001,3.138078152786854e-15,2.190696330711329e-14,True,-2.7143225753996507,DOWN
RAN,11.19501437359323,3.1467255735126617e-15,2.1958066053887385e-14,True,1.002745138596591,UP
BTG2,-11.194591332427878,3.151010625925775e-15,2.197869764162814e-14,True,-1.639609502827831,DOWN
MSI2,11.193388599540755,3.1632256013058112e-15,2.20546007474103e-14,True,1.3188199810466692,UP
LRRC25,-11.191108292795935,3.186516193893527e-15,2.220762865542056e-14,True,-1.8535419452773096,DOWN
