gene,t_stat,p_value,p_adj,significant,log2FC,regulation
TROAP,20.857955695065154,2.5260568336108333e-26,6.851411526572334e-24,True,4.331586403082629,UP
CENPA,20.842978725956307,2.6089323898728573e-26,6.962062321039747e-24,True,4.491395621201974,UP
SLC51B,-20.83168215923396,2.6732691324125035e-26,7.020513935835694e-24,True,-4.821201753400548,DOWN
PTPRB,-20.822036934108354,2.729477967961753e-26,7.056127028113625e-24,True,-3.4362744452220015,DOWN
RACGAP1,20.806632195704235,2.8217575457089306e-26,7.182458245192963e-24,True,2.1854879789302526,UP
A2M,-20.711582953391588,3.4658195189389947e-26,8.558505065797862e-24,True,-3.5768626424527046,DOWN
AQP1,-20.711612996522934,3.465593897506887e-26,8.558505065797862e-24,True,-3.9678424048329095,DOWN
CENPF,20.64971261430349,3.9636961262574265e-26,9.644022413077811e-24,True,4.280027465928556,UP
CDC45,20.625634338197166,4.176615541652802e-26,9.93404164387304e-24,True,4.2200417248223046,UP
FOXM1,20.622740252612466,4.202979238870431e-26,9.93404164387304e-24,True,4.498627054994167,UP
IHH,-20.61570064692431,4.2678158716585523e-26,9.945213182618414e-24,True,-4.458908944949529,DOWN
COL7A1,20.60297446788603,4.387622568161811e-26,1.0082391026421828e-23,True,4.544113024728019,UP
CHEK1,20.59148959856436,4.49868030627118e-26,1.0195981598254339e-23,True,2.9019658671549475,UP
CDCA4,20.569494638164663,4.7194229197715665e-26,1.0551736784813591e-23,True,2.1960815909407403,UP
NOVA2,-20.562578798063477,4.7910845861204363e-26,1.0569132596981682e-23,True,-2.8727908359454553,DOWN
SLC35A1,-20.552027331543812,4.902558558458929e-26,1.067274096706618e-23,True,-1.5945105881083261,DOWN
RECQL4,20.505598813279214,5.425309075388718e-26,1.1220217331538292e-23,True,3.1368855630134336,UP
EDNRB,-20.51774433922713,5.283311154936993e-26,1.1220217331538292e-23,True,-4.566667611994195,DOWN
FHL5,-20.508211268551314,5.394441503422914e-26,1.1220217331538292e-23,True,-4.392968605140091,DOWN
FHL1,-20.51120720440909,5.359262822169897e-26,1.1220217331538292e-23,True,-4.1262725088318035,DOWN
KHDRBS2,-20.498410708032278,5.511171435396605e-26,1.1257077950448991e-23,True,-4.42220527875883,DOWN
HSPB6,-20.491602981850825,5.593765205566812e-26,1.128644455196377e-23,True,-4.141559961186979,DOWN
C17orf53,20.478642547719257,5.75450490986995e-26,1.1470877558288954e-23,True,3.159165359818836,UP
POLQ,20.47135089301704,5.846996885993547e-26,1.1516495652233718e-23,True,3.946427411964611,UP
CAT,-20.461165157604,5.978738275528364e-26,1.1543915653624736e-23,True,-2.33980408927701,DOWN
CFP,-20.459507384761118,6.000463863473723e-26,1.1543915653624736e-23,True,-3.5631266452002954,DOWN
CBLC,20.429977646179594,6.401210376701395e-26,1.2173336285347653e-23,True,3.5364655220063392,UP
SUSD2,-20.409193439931364,6.699513272964789e-26,1.2511643719854046e-23,True,-5.117062901021342,DOWN
CPB2,-20.402003291595424,6.805971198470016e-26,1.2511643719854046e-23,True,-6.491589132026496,DOWN
GINS1,20.40314969431509,6.788882801613729e-26,1.2511643719854046e-23,True,3.7468816906807643,UP
CLEC14A,-20.38748297212738,7.02623981490155e-26,1.2774630520609466e-23,True,-3.1527378113067925,DOWN
KIF4A,20.371263503378334,7.280877729497324e-26,1.309370891679709e-23,True,4.215691266003292,UP
ASPM,20.3633512997139,7.408484199928405e-26,1.317993237503392e-23,True,4.0648773963166605,UP
CLIC5,-20.35449322477923,7.5540485960765e-26,1.3295929151285713e-23,True,-5.822896852903042,DOWN
CLDN18,-20.3314003218786,7.947372438505882e-26,1.3840976525797876e-23,True,-8.188339428861319,DOWN
E2F7,20.313396329329823,8.26843548155792e-26,1.4250131775247476e-23,True,3.8925008286117673,UP
SAPCD2,20.288705035420385,8.730342075543595e-26,1.489108346802771e-23,True,4.113930722894029,UP
CKAP2L,20.279111917754676,8.916811190062755e-26,1.490699635210681e-23,True,3.972428539826957,UP
UBE2S,20.27895621582734,8.919870890653214e-26,1.490699635210681e-23,True,2.4482369879683965,UP
DEPDC1B,20.25334738129812,9.437935049454401e-26,1.5615063539322306e-23,True,3.7898320194093857,UP
ADAMTS8,-20.247925477414952,9.551490671280117e-26,1.5646476550131637e-23,True,-5.689970261842508,DOWN
VEPH1,-20.23847140055518,9.752832369239597e-26,1.572839682758612e-23,True,-4.5049231287037665,DOWN
KIAA1524,20.236672569782584,9.791628124758963e-26,1.572839682758612e-23,True,2.6749585114987173,UP
NUF2,20.215731846193396,1.0254987830937925e-25,1.631430515989115e-23,True,4.079207766724082,UP
ABCA8,-20.20687287612807,1.0457672021857013e-25,1.6478303200154694e-23,True,-4.730841570024121,DOWN
CCNA2,20.159707244626187,1.1607485684471777e-25,1.8117533080149578e-23,True,3.665277313911033,UP
HYAL2,-20.155294297840783,1.1721443629352372e-25,1.8124419144638786e-23,True,-1.7933327676258504,DOWN
GPD1,-20.146048392163298,1.19639115857499e-25,1.8328047887614081e-23,True,-5.566622362202832,DOWN
SPC24,20.130058779988875,1.239534151757771e-25,1.874289416419721e-23,True,3.2168529173196303,UP
UBE2T,20.127665068336224,1.2461277473929846e-25,1.874289416419721e-23,True,3.367063331189576,UP
SKA1,20.11348476242026,1.2859267974563812e-25,1.8996123985639132e-23,True,3.949657193647594,UP
PPP1R14A,-20.1172969657302,1.2751018563784394e-25,1.8996123985639132e-23,True,-3.1252975150487563,DOWN
ARRB1,-20.083129479303764,1.375528547986499e-25,2.0139929049943918e-23,True,-3.1201997773797068,DOWN
CDCA8,20.06858823046733,1.4206767833885791e-25,2.0492118367943665e-23,True,3.7094002450184327,UP
UBE2C,20.06742467847263,1.4243539512321073e-25,2.0492118367943665e-23,True,4.624322828289125,UP
RAD54L,20.045049568565684,1.4969808752717047e-25,2.1055668485799464e-23,True,3.5970668461428925,UP
HSD17B6,-20.042959674785543,1.503954012511651e-25,2.1055668485799464e-23,True,-4.122380220963928,DOWN
CDCA3,20.040627216561536,1.5117755301949267e-25,2.1055668485799464e-23,True,4.077841315654376,UP
AC090616.2,-20.03983839533002,1.514430069392648e-25,2.1055668485799464e-23,True,-4.399493262705713,DOWN
ARHGEF15,-20.0163840497742,1.595563973799033e-25,2.199883828875417e-23,True,-3.4068792328720265,DOWN
FCN3,-19.99373928780938,1.6780952868258538e-25,2.2945526050027892e-23,True,-5.599415579540635,DOWN
GNG11,-19.971627893427847,1.762876416539007e-25,2.3712837651738106e-23,True,-3.2588188951375567,DOWN
HIGD1B,-19.973835296230586,1.7542202804443408e-25,2.3712837651738106e-23,True,-4.210018801174918,DOWN
C10orf32,-19.961518615350123,1.8030778273121041e-25,2.386553812230301e-23,True,-1.4845120127191267,DOWN
KIAA0408,-19.961644769160454,1.8025704484086812e-25,2.386553812230301e-23,True,-4.632499674621203,DOWN
CASC5,19.9510999873478,1.8454861705571875e-25,2.4232991025292593e-23,True,3.042991371934721,UP
FIGF,-19.94142676979312,1.8857688447546632e-25,2.4375035575363985e-23,True,-5.9455473187982175,DOWN
MCM2,19.942554548129554,1.8810266700929685e-25,2.4375035575363985e-23,True,3.109406278647037,UP
ST6GALNAC6,-19.915915782618637,1.9963516187142585e-25,2.560437017955613e-23,True,-1.8745099932729268,DOWN
CASP12,-19.885520923786014,2.136760608434544e-25,2.7194387897345795e-23,True,-3.710214909726196,DOWN
AUNIP,19.88110794871324,2.1579659221612137e-25,2.725461540622693e-23,True,3.1962815807232023,UP
STARD8,-19.86043913516829,2.2601709475999712e-25,2.8329188127304184e-23,True,-2.985290752115822,DOWN
SDPR,-19.821841501065208,2.4644173118228837e-25,3.065698077000723e-23,True,-4.721757111615014,DOWN
STX11,-19.7931847037131,2.6281319762578743e-25,3.2449584736706366e-23,True,-3.109049719686703,DOWN
TDRD10,-19.77835890368012,2.7171325654912265e-25,3.329996910818692e-23,True,-3.8514864587400304,DOWN
SLC6A8,19.768950026324134,2.7751998021548445e-25,3.3761529946067574e-23,True,3.7009738236683702,UP
SHE,-19.740912372722036,2.9558355413197313e-25,3.5696568635864924e-23,True,-3.703728790901069,DOWN
ST6GALNAC3,-19.699238031646175,3.2466984269430374e-25,3.8645054297678097e-23,True,-2.8323185618254456,DOWN
MS4A15,-19.70003181308446,3.2408947491338136e-25,3.8645054297678097e-23,True,-6.3448570617112345,DOWN
EZH2,19.695638537873233,3.2731488694490487e-25,3.8681605746453225e-23,True,2.7660644500120632,UP
GPD1L,-19.672817891175832,3.4460232265245637e-25,4.0435783179325466e-23,True,-2.3252990493930357,DOWN
TTK,19.65787966551405,3.564189966254129e-25,4.1527833092728564e-23,True,4.243657172483518,UP
ANLN,19.65305349051233,3.603241475125509e-25,4.1689251892273814e-23,True,4.115882365629189,UP
KIF2C,19.62668554433746,3.8244199776814765e-25,4.394099203523613e-23,True,4.090979612516938,UP
LYVE1,-19.623192453412564,3.8547393539954723e-25,4.3983905249555235e-23,True,-4.0476568546314695,DOWN
LEPR,-19.602292518746914,4.0413270827376947e-25,4.579709355061312e-23,True,-2.966065235671862,DOWN
MYO19,19.578241691167058,4.267454957282508e-25,4.80306409988021e-23,True,1.7243120105058836,UP
SLC5A4,-19.527981917544427,4.782480465245077e-25,5.346360763343231e-23,True,-3.021864020711894,DOWN
NEK2,19.519235628534766,4.878368437448334e-25,5.416953409233738e-23,True,4.301893029176022,UP
TMEM252,-19.510987352643724,4.970588657032439e-25,5.48255928870678e-23,True,-2.8326629101679743,DOWN
KIF11,19.49936271887468,5.103578835139624e-25,5.591967670687753e-23,True,3.4480390505582434,UP
LRP2BP,-19.436706602331906,5.885351329695498e-25,6.406127483540264e-23,True,-2.8570592342344305,DOWN
TIE1,-19.416812824490584,6.158252963260596e-25,6.659365704388665e-23,True,-2.8772618269975236,DOWN
BUB1,19.385455967328614,6.614805756821109e-25,7.106620860169172e-23,True,3.2455074486816953,UP
CENPI,19.382049213483825,6.6664385689613165e-25,7.11588555635258e-23,True,3.13632561562506,UP
C19orf59,-19.366935496836486,6.900493667279671e-25,7.318504341355266e-23,True,-6.0371025668934255,DOWN
GPIHBP1,-19.32105053412115,7.663610797058041e-25,8.076079021485686e-23,True,-5.731264604550798,DOWN
DES,-19.308628581979118,7.884604419034313e-25,8.256378488159665e-23,True,-5.184150546543999,DOWN
CENPE,19.279303870458833,8.432389462266196e-25,8.774458091395863e-23,True,2.8981616657436353,UP
FAM110D,-19.24430663751571,9.137108342578818e-25,9.4163380194432e-23,True,-2.9941948427034744,DOWN
EME1,19.24307024223329,9.163072959385647e-25,9.4163380194432e-23,True,2.830403609945467,UP
MYBL2,19.23974058657288,9.23337049288833e-25,9.430007086718358e-23,True,4.667027511748046,UP
ALDH2,-19.225174913958384,9.547397781115856e-25,9.631810749302551e-23,True,-2.389214044267314,DOWN
RASGRP4,-19.227608642815376,9.494181679599066e-25,9.631810749302551e-23,True,-2.9332933796639216,DOWN
WDHD1,19.194641541950727,1.0241416259334846e-24,1.0269347394587577e-22,True,2.4013592291418027,UP
AQP7,-19.191963661712634,1.030468097193588e-24,1.0270538956667418e-22,True,-3.769514795869732,DOWN
SCUBE1,-19.18157288572355,1.0553950291001578e-24,1.0455994464947372e-22,True,-4.9270266075334765,DOWN
DPCR1,-19.1782968229481,1.0633806619811445e-24,1.0472400626475022e-22,True,-4.572734656134485,DOWN
TMEM100,-19.167023800039058,1.0913322057819144e-24,1.0684077718734777e-22,True,-5.916487108256654,DOWN
HJURP,19.155957498435765,1.1194984280618108e-24,1.0734499446606742e-22,True,4.162120832888248,UP
KRT6A,19.15709078169433,1.1165802915543736e-24,1.0734499446606742e-22,True,8.075547253045201,UP
PLAC9,-19.154820156320284,1.1224348167198346e-24,1.0734499446606742e-22,True,-3.6942957829403245,DOWN
SHROOM4,-19.157069105631575,1.1166360334634298e-24,1.0734499446606742e-22,True,-2.8339118140660435,DOWN
GTSE1,19.15172832097624,1.1304569807279142e-24,1.0749086635714564e-22,True,3.7770707796256424,UP
SPTBN1,-19.135007685972568,1.1748626902246872e-24,1.1107487548438542e-22,True,-2.0352953608962903,DOWN
STX12,-19.127182885864745,1.1962489642318675e-24,1.1212610281773125e-22,True,-1.4160787943834752,DOWN
FRY,-19.12599292229546,1.1995358234353843e-24,1.1212610281773125e-22,True,-3.1729245583504193,DOWN
MFAP4,-19.114127764089552,1.2328160360614561e-24,1.1458955795863367e-22,True,-4.091762680686591,DOWN
LIMS2,-19.10906858092544,1.2472906190115271e-24,1.1528728095835597e-22,True,-3.2260835846124483,DOWN
MBIP,-19.10602506623241,1.2560814437762828e-24,1.1545481937376998e-22,True,-1.9976469405951018,DOWN
GIMAP8,-19.061296780590133,1.392792368311036e-24,1.2728539333165399e-22,True,-3.3527250568417593,DOWN
DLGAP5,19.05900930844216,1.4001777930710805e-24,1.2728539333165399e-22,True,4.341702877736311,UP
EXO1,19.051923577010122,1.4233089103576005e-24,1.286811252561011e-22,True,3.898175267359083,UP
MAD2L1,19.04719076991951,1.4389751903759523e-24,1.2939045937375072e-22,True,3.2243104934929274,UP
GGTLC1,-19.04272331075766,1.4539240734283734e-24,1.3002796645876994e-22,True,-7.192344803267118,DOWN
KIF17,-19.037528724931743,1.4715048481970477e-24,1.3019276852096337e-22,True,-2.8558828209359044,DOWN
GPBAR1,-19.038327558306133,1.468787235544609e-24,1.3019276852096337e-22,True,-2.9081570388935307,DOWN
HOXC13,19.005317748876266,1.5854565650183534e-24,1.3952861100121628e-22,True,5.059340802930912,UP
EPAS1,-18.99641822915598,1.6184952931562963e-24,1.4168256415487262e-22,True,-3.3039214771499257,DOWN
ESPL1,18.990750177504186,1.6399017396192607e-24,1.4280091727368772e-22,True,3.234189080444313,UP
RFC4,18.98579859818523,1.6588379267400716e-24,1.4369357852311247e-22,True,2.7274476580631077,UP
CCNF,18.969778467081788,1.7216412450941955e-24,1.4835705416710136e-22,True,2.430591226864232,UP
PHACTR1,-18.96065616842898,1.7584786983261853e-24,1.4996922713302442e-22,True,-3.1215480085441243,DOWN
RSPO2,-18.961749853485166,1.754020231523788e-24,1.4996922713302442e-22,True,-4.6890575539933135,DOWN
TGFBR2,-18.949354549608405,1.805231044357224e-24,1.53166910917386e-22,True,-2.8982316029639144,DOWN
GDF10,-18.942199973863126,1.8354797170193312e-24,1.5432609289821625e-22,True,-5.489867169503555,DOWN
F11,-18.941715039987628,1.8375485222694834e-24,1.5432609289821625e-22,True,-5.351142639527966,DOWN
LRRC36,-18.939031841580483,1.8490384250771825e-24,1.5450677142879792e-22,True,-5.082090242132132,DOWN
ORC6,18.924369638473124,1.9131279409357272e-24,1.578661219315325e-22,True,3.4603886748426387,UP
KL,-18.927522352387182,1.8991590997824982e-24,1.578661219315325e-22,True,-3.5608943838044973,DOWN
CCNB2,18.923305626160847,1.917865851208101e-24,1.578661219315325e-22,True,4.136109380687902,UP
LYSMD3,-18.919919925221155,1.9330215142140506e-24,1.5832594531025478e-22,True,-1.3146917327327188,DOWN
GAPDH,18.90612976232847,1.9960209324391454e-24,1.6268062230150573e-22,True,2.14117648299427,UP
KLB,-18.89799929799339,2.034139243796028e-24,1.6497467543433962e-22,True,-3.53787216255023,DOWN
SPAG5,18.891691153064063,2.0642234973801204e-24,1.6618977399974936e-22,True,3.1329504662376157,UP
TMEM132A,18.89065443713305,2.0692108458113247e-24,1.6618977399974936e-22,True,2.695492736817128,UP
PRX,-18.88788722137592,2.082583254620664e-24,1.6645574853960813e-22,True,-4.0774847341392135,DOWN
IL3RA,-18.884094724102532,2.1010532160845606e-24,1.6712464163518776e-22,True,-2.733718224344951,DOWN
SNRK,-18.87513032218932,2.1453763507588126e-24,1.6983374030289262e-22,True,-1.6201934472682327,DOWN
NUP155,18.867922238966713,2.1817048009884084e-24,1.718871711064439e-22,True,1.8296020661604038,UP
WWC2,-18.84291444820947,2.3126667275180446e-24,1.813415687525405e-22,True,-2.8346935357723924,DOWN
LYPD3,18.82649045887479,2.403001422877891e-24,1.8753612519582409e-22,True,4.946476323071098,UP
BIRC5,18.823379889814127,2.4205102836303707e-24,1.8801569315804923e-22,True,4.384930933706156,UP
CDC6,18.792435506881407,2.6019203154172592e-24,2.0116248419896522e-22,True,3.968650869642688,UP
AHCYL2,-18.785578668164714,2.643955977910265e-24,2.0346163560244342e-22,True,-2.7872526001553037,DOWN
CD300LG,-18.779618660201017,2.681054591281462e-24,2.0441496872235845e-22,True,-5.844154191428726,DOWN
MYOCD,-18.78055984136018,2.6751611029691423e-24,2.0441496872235845e-22,True,-3.5233256488486417,DOWN
