gene,log2FC,p_adj,category
DEPDC1B,3.7898320194093857,1.5615063539322306e-23,Upregulated
ADAMTS8,-5.689970261842508,1.5646476550131637e-23,Downregulated
VEPH1,-4.504923128703767,1.572839682758612e-23,Downregulated
KIAA1524,2.6749585114987173,1.572839682758612e-23,Upregulated
NUF2,4.079207766724082,1.631430515989115e-23,Upregulated
ABCA8,-4.730841570024121,1.6478303200154694e-23,Downregulated
CCNA2,3.665277313911033,1.8117533080149578e-23,Upregulated
HYAL2,-1.7933327676258504,1.8124419144638786e-23,Downregulated
GPD1,-5.566622362202832,1.8328047887614081e-23,Downregulated
UBE2T,3.367063331189576,1.874289416419721e-23,Upregulated
SPC24,3.2168529173196303,1.874289416419721e-23,Upregulated
SKA1,3.949657193647594,1.899612398563913e-23,Upregulated
PPP1R14A,-3.1252975150487563,1.899612398563913e-23,Downregulated
ARRB1,-3.1201997773797068,2.013992904994392e-23,Downregulated
UBE2C,4.624322828289125,2.0492118367943665e-23,Upregulated
CDCA8,3.7094002450184327,2.0492118367943665e-23,Upregulated
AC090616.2,-4.399493262705713,2.1055668485799464e-23,Downregulated
CDCA3,4.077841315654376,2.1055668485799464e-23,Upregulated
RAD54L,3.5970668461428925,2.1055668485799464e-23,Upregulated
HSD17B6,-4.122380220963928,2.1055668485799464e-23,Downregulated
ARHGEF15,-3.4068792328720265,2.1998838288754171e-23,Downregulated
FCN3,-5.599415579540635,2.294552605002789e-23,Downregulated
GNG11,-3.2588188951375567,2.3712837651738106e-23,Downregulated
HIGD1B,-4.210018801174918,2.3712837651738106e-23,Downregulated
KIAA0408,-4.632499674621203,2.386553812230301e-23,Downregulated
C10orf32,-1.4845120127191267,2.386553812230301e-23,Downregulated
CASC5,3.042991371934721,2.4232991025292596e-23,Upregulated
FIGF,-5.9455473187982175,2.4375035575363985e-23,Downregulated
MCM2,3.109406278647037,2.4375035575363985e-23,Upregulated
ST6GALNAC6,-1.8745099932729268,2.560437017955613e-23,Downregulated
CASP12,-3.710214909726196,2.7194387897345795e-23,Downregulated
AUNIP,3.1962815807232023,2.725461540622693e-23,Upregulated
STARD8,-2.985290752115822,2.8329188127304184e-23,Downregulated
SDPR,-4.721757111615014,3.0656980770007233e-23,Downregulated
STX11,-3.109049719686703,3.244958473670637e-23,Downregulated
TDRD10,-3.8514864587400304,3.329996910818692e-23,Downregulated
SLC6A8,3.70097382366837,3.3761529946067574e-23,Upregulated
SHE,-3.703728790901069,3.5696568635864924e-23,Downregulated
MS4A15,-6.3448570617112345,3.8645054297678097e-23,Downregulated
ST6GALNAC3,-2.8323185618254456,3.8645054297678097e-23,Downregulated
EZH2,2.7660644500120632,3.8681605746453225e-23,Upregulated
