Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
SHOX2	6474	1.1	6.11	0.67	3.59	3.5	1.85	1.95	2.25	2.34	1.13	3.5	1.04	0.68	1.89	2.34	1.06	2.39	1.97	1.51	2.56	7.75	1.87	14.14	1.45	1.5	2.68	0.67	1.93	3.76	3.56	1.53	3.41	4.5	4.31	5.63	2.23	1.48	1.5	0.66	3.23	5.63	1.55	0.0	4.9	3.86	3.89	0.67	1.46	2.84	2.23
GCDH	2639	368.65	470.14	373.81	339.14	353.59	318.57	376.41	438.59	373.81	514.56	361.04	194.36	389.72	426.57	460.44	299.25	353.59	447.82	242.88	400.71	332.14	429.54	406.31	334.46	289.02	258.57	387.02	237.86	423.61	379.04	392.44	387.02	346.29	348.71	426.57	297.17	260.38	279.14	379.04	381.68	497.0	273.37	339.14	351.14	376.41	363.56	363.56	450.94	460.44	400.71
PAN2	9924	444.72	785.88	432.53	426.57	651.58	379.04	403.5	414.87	409.15	536.45	412.0	460.44	329.84	921.88	457.25	808.0	441.64	738.29	327.56	483.38	567.1	470.14	366.09	595.34	435.55	698.41	836.53	791.35	612.11	381.68	532.74	616.37	567.1	381.68	400.71	1037.29	234.57	486.75	693.58	638.15	1268.46	842.36	457.25	547.75	808.0	521.76	791.35	314.17	928.3	629.35
GTF3C3	9330	285.03	279.14	303.44	281.09	373.81	201.25	244.57	269.6	289.02	334.46	358.54	191.67	237.86	260.38	283.05	332.14	285.03	285.03	287.01	244.57	312.0	262.2	205.5	260.38	194.36	371.22	314.17	285.03	358.54	211.31	209.84	305.55	232.94	208.38	305.55	348.71	155.5	281.09	265.87	220.32	420.68	323.03	255.0	301.33	229.72	217.27	305.55	248.0	220.32	265.87
PPAPDC2	403313	115.97	119.26	120.94	123.5	136.19	76.71	133.36	88.26	111.99	124.37	119.26	67.12	96.68	107.38	104.42	135.24	108.14	121.79	123.5	130.6	75.64	104.42	93.35	79.45	72.01	138.1	133.36	126.12	124.37	122.64	102.97	112.77	97.36	107.38	109.66	127.89	63.89	145.02	111.21	83.45	173.85	149.12	81.14	120.1	107.38	102.97	136.19	120.94	80.01	100.13
DNMT1	1786	1044.52	1159.07	802.41	1427.22	941.27	547.75	1015.93	947.83	934.76	1037.29	1135.2	785.88	1015.93	1143.1	674.59	1088.92	1457.23	981.29	708.18	1350.18	1304.15	1023.0	928.3	660.68	802.41	1167.14	1135.2	808.0	1313.23	1030.12	884.29	872.1	1059.11	860.08	819.3	1286.18	669.92	1008.9	713.11	848.22	1583.71	1073.91	1015.93	1277.29	884.29	1096.5	974.5	791.35	1216.75	878.17
DDX11	1663	164.42	297.17	146.03	232.94	82.29	35.0	74.06	205.5	178.77	172.65	143.01	155.5	183.82	511.0	220.32	193.01	138.1	423.61	129.69	99.43	325.29	231.32	197.09	242.88	169.07	67.12	105.89	153.34	334.46	46.5	297.17	361.04	470.14	187.71	166.73	120.1	112.77	256.78	75.64	75.64	587.13	246.28	55.1	309.83	214.27	69.52	47.17	176.29	376.41	265.87
LRIF1	55791	153.34	205.5	154.42	169.07	149.12	137.14	154.42	116.78	176.29	218.79	146.03	152.28	127.0	163.28	193.01	153.34	218.79	166.73	248.0	165.57	138.1	124.37	150.17	165.57	91.41	153.34	161.02	183.82	133.36	113.56	162.14	148.09	157.68	129.69	180.02	148.09	127.0	197.09	159.9	134.3	309.83	202.66	128.79	81.71	103.69	111.99	208.38	125.24	143.01	138.1
DYNC1I2	1781	1651.0	1340.84	1331.57	1844.76	1529.73	1199.98	1350.18	1242.34	1487.87	1508.65	1806.78	1397.83	1304.15	1540.37	1617.0	1781.89	1529.73	1721.16	1857.6	1175.27	1561.89	1369.04	1331.57	1378.57	1259.69	1697.45	1397.83	1883.54	1572.76	1304.15	1250.98	1583.71	1417.35	1250.98	2047.0	1674.06	1322.37	1883.54	1477.58	1167.14	1397.83	1674.06	1437.15	1697.45	1529.73	1233.75	1304.15	1583.71	1073.91	1529.73
UBE4A	9354	334.46	265.87	441.64	463.65	363.56	239.52	305.55	279.14	332.14	353.59	363.56	260.38	314.17	277.2	211.31	334.46	376.41	289.02	358.54	273.37	376.41	273.37	279.14	255.0	273.37	480.04	397.93	463.65	341.51	223.41	269.6	353.59	323.03	236.21	309.83	400.71	256.78	400.71	267.73	277.2	409.15	406.31	343.89	371.22	285.03	293.07	363.56	299.25	293.07	269.6
HHLA1	10086	0.37	0.0	0.37	0.37	0.69	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.36	0.0	0.0	0.38	0.38	0.0	0.39	0.0	0.0	0.4	0.34	0.0	0.36	0.0	0.37	0.0	0.37	0.0	0.0	0.35	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.69	0.0	0.0	0.38	0.0
OR9A4	130075	0.0	0.0	0.0	0.39	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.39	0.0	0.0	0.0	0.0	0.72	0.84	0.0	0.0	0.38	0.0	0.0	0.71	0.0	0.0	0.38	0.0	0.73	0.71	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.4	1.04
SYDE2	84144	69.52	46.5	104.42	99.43	39.5	20.41	67.12	34.26	55.89	88.88	67.12	33.06	46.5	55.1	65.72	70.51	88.88	72.52	92.7	37.59	34.02	56.28	29.7	28.04	20.41	109.66	96.01	176.29	45.53	66.18	37.05	54.72	29.91	25.17	63.0	105.89	19.82	133.36	71.0	69.03	58.71	116.78	53.95	76.71	89.51	67.59	75.64	36.53	28.24	43.32
TMEM140	55281	954.43	884.29	1216.75	974.5	684.02	480.04	713.11	830.75	796.86	967.76	1111.82	476.71	599.49	848.22	1059.11	1119.56	967.76	1250.98	1617.0	575.03	1457.23	1081.39	775.05	599.49	830.75	981.29	928.3	961.07	808.0	878.17	791.35	579.04	708.18	483.38	1359.57	693.58	660.68	1437.15	836.53	708.18	1001.93	1015.93	890.44	909.17	934.76	1216.75	629.35	642.59	738.29	1051.79
TSTA3	7264	1388.16	1594.73	842.36	1519.15	1378.57	1286.18	1304.15	2047.0	1259.69	1183.45	1233.75	1044.52	1950.0	1397.83	1963.57	1183.45	1066.48	1259.69	753.83	1594.73	1397.83	1407.55	1369.04	1605.83	1295.13	866.07	1208.34	819.3	1561.89	1757.34	1477.58	1295.13	1733.13	1605.83	1096.5	1397.83	1378.57	1059.11	1191.69	1340.84	1350.18	981.29	1023.0	1769.57	1088.92	1066.48	1313.23	2271.4	1709.26	1487.87
GRIA1	2890	142.01	49.91	190.34	177.53	144.01	124.37	181.28	56.28	142.01	194.36	507.46	277.2	190.34	135.24	85.82	150.17	187.71	211.31	94.67	44.89	46.5	139.07	48.18	65.26	110.43	397.93	249.73	318.57	69.52	165.57	133.36	187.71	158.79	56.28	536.45	143.01	152.28	343.89	201.25	149.12	38.12	147.06	253.23	256.78	368.65	56.28	49.91	98.04	56.68	172.65
SNRPC	6631	2240.11	2451.44	1977.24	1883.54	2104.58	2119.22	2555.58	2915.45	2367.9	1709.26	1977.24	1572.76	2018.8	2303.12	3443.31	2193.99	2335.28	2133.97	2335.28	2434.5	1896.65	2193.99	2193.99	2835.7	1697.45	1572.76	2163.77	2032.85	2224.63	2468.49	2468.49	2119.22	2240.11	2335.28	2468.49	2209.26	1819.35	2163.77	2384.37	2047.0	2271.4	2148.82	2090.03	1991.0	2163.77	1936.53	2104.58	2720.15	2061.24	2573.36
