Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
C10orf126	283080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.37	0.0	0.0	9.78	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.57	0.35	0.0	0.0	0.33	0.3	0.0	0.0	0.0	0.73	0.0	7.88	0.0	0.32	0.35	0.0	0.0
KDM5B	10765	665.29	642.59	665.29	947.83	514.56	480.04	728.11	417.77	256.78	915.51	559.28	947.83	412.0	258.57	1674.06	848.22	420.68	444.72	995.0	2209.26	307.69	723.08	518.15	1487.87	1286.18	878.17	848.22	928.3	848.22	447.82	802.41	872.1	1081.39	473.41	514.56	854.13	665.29	1331.57	759.08	409.15	1242.34	1427.22	698.41	896.64	1030.12	429.54	633.73	974.5	759.08	647.07
KLF12	11278	46.5	22.26	19.11	33.54	93.35	110.43	115.16	54.72	17.38	119.26	78.89	4.78	43.63	49.91	287.01	8.71	59.13	35.0	148.09	76.71	78.34	47.84	98.04	32.59	39.5	74.58	35.25	119.26	55.49	24.81	25.91	92.7	87.03	90.77	23.76	84.63	35.0	49.91	86.43	35.0	31.67	54.72	57.89	356.05	111.99	40.64	16.39	104.42	96.01	65.72
ZNF367	195828	61.68	43.02	40.07	76.17	41.52	70.51	126.12	67.59	94.67	185.11	137.14	114.36	414.87	22.43	183.82	127.89	172.65	169.07	88.26	127.0	92.7	136.19	285.03	249.73	26.47	62.12	154.42	170.25	236.21	126.12	133.36	190.34	35.5	172.65	72.01	279.14	37.05	152.28	346.29	63.89	145.02	48.52	31.9	45.85	275.28	202.66	182.55	62.56	142.01	152.28
AP000783.1	0	1.69	5.45	2.97	1.95	1.93	7.34	12.27	7.22	2.84	9.27	1.3	1.5	5.63	9.41	1.17	1.51	0.95	4.46	0.99	2.76	17.77	1.27	2.12	2.78	3.5	7.57	2.94	0.95	2.14	2.86	2.32	6.41	5.68	3.47	75.11	2.2	1.45	2.01	10.96	10.0	12.36	3.56	5.32	6.62	56.68	1.68	0.0	2.56	0.89	6.26
ARMC3	219681	5.5	2.68	40.07	72.52	9.27	4.9	9.56	0.0	3.69	1.17	0.77	0.0	13.52	363.56	33.78	0.0	18.43	10.16	2.76	0.0	24.11	2.97	0.0	13.62	0.91	3.76	0.0	11.13	0.0	57.49	10.31	0.53	0.0	6.46	2.48	0.0	10.24	0.0	11.91	9.78	0.0	2.12	0.05	0.04	3.47	0.78	2.2	10.88	0.0	0.83
APC2	10297	15.8	27.25	3.26	2.94	2.92	1.43	1.48	5.96	2.18	2.97	4.06	0.55	3.23	1.06	1.51	3.66	1.33	8.85	3.23	2.43	1.71	0.0	10.63	1.68	3.03	5.59	0.92	2.76	15.11	2.18	2.97	1.69	3.14	1.85	2.14	2.92	2.63	5.68	7.51	0.96	0.89	2.07	3.14	18.29	9.27	2.39	1.95	5.77	4.43	2.51
CREB3L3	84699	0.0	0.67	0.31	0.61	1.51	0.36	2.56	0.95	0.29	0.72	0.32	0.0	0.3	0.73	0.85	0.28	0.0	3.11	0.0	0.28	0.44	0.0	1.33	0.0	0.0	1.0	0.6	0.99	0.28	1.16	0.31	0.66	0.38	0.29	1.69	0.35	1.79	0.0	0.58	1.27	0.29	0.0	1.51	0.72	0.0	1.28	0.0	1.03	0.0	1.01
C20orf62	140834	1.6	2.25	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	1.51	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0
GPR114	221188	2.58	13.83	21.32	17.38	0.8	31.67	65.26	14.03	34.26	49.91	7.06	3.99	9.7	36.27	6.57	28.24	7.11	64.8	31.9	6.57	127.0	3.41	13.22	16.27	6.89	23.76	6.41	8.19	1.95	7.63	133.36	8.51	21.63	1.99	12.83	13.72	36.53	8.25	27.25	46.84	14.45	25.17	41.52	35.76	3.08	14.67	2.12	8.25	1.43	65.26
